key,de-DE,en-US,fi-FI,sv-SE
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_.exact,Exakt diese Auswahl,Exact this selection,Juuri tämä valinta,Exakt detta val
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_.exact_short,Exakt,Exact,Tarkalleen,Exakt
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_.include_children,Auch Kinder einbeziehen,Include children too,Ota mukaan myös alataso,Inkludera även barn
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_.include_children_short,Auch Kinder,Include children,Myös alataso,Även barn
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_label,Suchmodus für Expertensuche wählen,Select search mode for expert search,Valitse hakutila tarkkaan hakuun,Välj söktyp för avancerad sökning
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_label2,Was wollen Sie finden? Nur exakte Treffer oder auch alle Kinder und Kindeskinder ihrer Suchauswahl?,What do you want to find? Only exact hits or also all children and grandchildren in your search selection?,Mitä haluat löytää? Vain tarkat osumat vai myös kaikki hakutuloksen alatasolta?,Vad vill du hitta? Endast exakta träffar eller även alla barn och barnbarn till din sökning?
custom.data.type.finto.modal.form.popup.choose_expertsearchmode_label3,Ausgewählt,Selected,Valittu,Valda
custom.data.type.commons.popover.choose.label,Auswahl treffen,choose,valitse,Välj
custom.data.type.commons.modal.form.popup.loadingstring,Lade Informationen,loading,ladataan tietoja,Ladda information
custom.data.type.commons.controls.search.label,Suchen,Search,Hae,Sök
custom.data.type.commons.controls.detailinfo.label,Detailinfo, Details,Tiedot,Detaljer
custom.data.type.commons.controls.calluri.label,Uri aufrufen,Call URI,Verkkolinkki,Öppna URI
custom.data.type.commons.controls.delete.label,Löschen,Delete,Poista,Radera
server.config.parameter.system.mapbox.mapbox_api_key.label,Mapbox-Token,Mapbox-Token,Mapbox-Token,Mapbox-Token
server.config.parameter.system.mapbox.mapbox_style.label,Mapbox-Style,Mapbox-Style,Mapbox-Style,Mapbox-Style
server.config.name.system.mapbox,Mapbox-Konfiguration,Mapbox-Configuration,Mapbox-Configuration,Mapbox-Configuration
custom.data.type.finto.config.parameter.mask.display_multiple_languages_in_searchhits.value.label,Zeige mehrere Sprachen in Suchergebnisauswahl an(ISO 639-1 & komma-separatiert),Show multiple languages ​​in search result selection (ISO 639-1 & comma-separated),Näytä useita kieliä hakutulosten valinnassa (ISO 639-1 ja pilkuilla eroteltu),Visa flera språk i val av sökresultat (ISO 639-1 & kommaseparerad)
custom.data.type.finto.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display,Editor-Display,Editor-Display
custom.data.type.finto.config.option.mask.editor_display.value.default,Standard,Default,Default,Default
custom.data.type.finto.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner,One-liner,One-liner
custom.data.type.finto.config.parameter.mask.use_dropdown_info_popup.value.label,Infopopup?,Infopopup?,Infopopup?,Infopopup?
custom.data.type.finto.config.parameter.mask.use_dropdown_info_popup.value.checkbox,Auch für Dropdown anzeigen,Show for dropdown too,Show for dropdown too,Show for dropdown too
